Name,Image Path,Eye Colour,Gender,Skin Tone,Hair Colour,Facial Hair,Glasses,Visible Teeth,Headwear,Hair Length,Piercings
Sam,assets/characters/sam.png,1,0,1,0,0,0,0,1,0,0
Olivia,assets/characters/olivia.png,0,1,1,0,0,0,0,0,1,0
Nick,assets/characters/nick.png,0,0,0,3,0,0,0,0,0,1
David,assets/characters/david.png,0,0,0,3,1,0,1,1,0,0
Sofia,assets/characters/sofia.png,1,1,1,1,0,0,1,0,0,1
Liz,assets/characters/liz.png,2,1,0,4,0,1,1,0,2,0
Lily,assets/characters/lily.png,1,1,1,1,0,0,1,1,2,0
Leo,assets/characters/leo.png,0,0,1,4,1,0,1,0,0,0
Emma,assets/characters/emma.png,0,1,0,2,0,0,0,0,1,0
Daniel,assets/characters/daniel.png,1,0,0,2,1,0,0,0,1,0
Ben,assets/characters/ben.png,0,0,0,1,0,1,0,0,0,1
Katie,assets/characters/katie.png,2,1,0,3,0,0,0,1,1,0
Al,assets/characters/al.png,1,0,1,4,1,1,0,0,3,0
Amy,assets/characters/amy.png,0,1,0,0,0,1,0,0,0,0
Mike,assets/characters/mike.png,0,0,0,0,0,0,1,1,0,0
Gabe,assets/characters/gabe.png,0,0,1,0,0,0,0,0,0,0
Farah,assets/characters/farah.png,2,1,1,0,0,0,0,0,1,0
Laura,assets/characters/laura.png,1,1,1,0,0,0,1,0,2,1
Jordan,assets/characters/jordan.png,0,0,1,0,1,0,0,0,0,1
Eric,assets/characters/eric.png,2,0,0,0,0,0,0,0,0,0
Carmen,assets/characters/carmen.png,0,1,1,4,0,0,1,0,0,1
Rachel,assets/characters/rachel.png,2,1,0,1,0,1,0,0,2,1
Joe,assets/characters/joe.png,0,0,1,4,1,1,1,0,3,0
Mia,assets/characters/mia.png,0,1,1,0,0,0,1,0,2,0
